symbol,from_date,to_date,init_close,final_close,net_change,pct_change,ttl_vol,article_count
FCEL,2/10/20,3/9/20,2.06,1.52,-0.54,-0.262135922,414508882,65
BYND,2/10/20,3/9/20,119.73,87.96,-31.77,-0.265347031,147846123,59
F,2/10/20,3/9/20,8.06,5.9,-2.16,-0.267990074,1725222507,52
DIS,2/10/20,3/9/20,142.59,104.35,-38.24,-0.268181499,337159527,51
GM,2/10/20,3/9/20,33.84,24.69,-9.15,-0.270390071,282053473,47
ROKU,2/10/20,3/9/20,132.21,96.26,-35.95,-0.271915891,324497715,45
UBER,2/10/20,3/9/20,40.01,28.17,-11.84,-0.295926018,748748637,43
PCG,2/10/20,3/9/20,18.03,12.62,-5.41,-0.300055463,207673307,40
XOM,2/10/20,3/9/20,59.96,41.86,-18.1,-0.301867912,637990959,39
CGC,2/10/20,3/9/20,19.05,13.22,-5.83,-0.306036745,148931314,31
APHA,2/10/20,3/9/20,4.1,2.84,-1.26,-0.307317073,108851827,27
PINS,2/10/20,3/9/20,24.29,16.21,-8.08,-0.33264718,303919242,27
CRBP,2/10/20,3/9/20,6.29,4.19,-2.1,-0.333863275,23172885,25
BA,2/10/20,3/9/20,342.63,227.17,-115.46,-0.336981584,150006217,25
SNAP,2/10/20,3/9/20,17.6,11.45,-6.15,-0.349431818,521781435,20
GE,2/10/20,3/9/20,12.9,8.21,-4.69,-0.363565891,1595838162,18
BAC,2/10/20,3/9/20,34.47,21.93,-12.54,-0.363794604,1625650148,17
LYFT,2/10/20,3/9/20,53.72,32.81,-20.91,-0.389240506,264051482,15
ACB,2/10/20,3/9/20,1.56,0.949,-0.611,-0.391666667,564648548,15
PENN,2/10/20,3/9/20,36.31,20.43,-15.88,-0.437345084,85488126,11
AAL,2/10/20,3/9/20,28.79,14.75,-14.04,-0.48766933,481176321,7
SDC,2/10/20,3/9/20,14.38,7,-7.38,-0.513212796,177385264,5
TLRY,2/10/20,3/9/20,16.01,7.67,-8.34,-0.520924422,72888351,4
DNR,2/10/20,3/9/20,0.94,0.3521,-0.5879,-0.625425532,312294326,3
GRPN,2/10/20,3/9/20,2.93,0.9818,-1.9482,-0.664914676,437535983,2
CHK,2/10/20,3/9/20,0.5,0.1573,-0.3427,-0.6854,2395926865,0
